English,Nyishi
It sounds like you had a good time ,Si tanamv noq aljaq mood ak doopanyi 
It took all night to climb Mt Fuji ,Fuuji puutuho caodvb ai yupwgob nyipa 
It was a great victory for Jackson ,Jakson gab hv vcloodab kooyub mvyanamgo 
It was a perfect day for a wedding ,Hoq aal hv nyem naadub aljaqnbo aal goobanyi 
It was a perfect day for the beach ,Sa sugurgab hoq aal hv kvtaqjaqnam aal gobanyi 
"It was a pleasure meeting you, Tom ","Tom, hoqhv aljab nam kaapadv aal goobanyi "
It was a pleasure working with you ,Hoqhv noq lvgab hempjaqb boon nyinam goobanyi 
It was a very traditional ceremony ,Hoqhv oyug nyicijaqb nyinam ak goobanyi 
It was an unforgettable experience ,Hoqhv mwwxalamanam nyinam goobanyi 
It was bitterly cold in Washington ,Hoq moodho Hoasington gab swkwr ciidwqdvja goobanyi 
It was colder yesterday than today ,Mooyo soologab swkwr yaabanyi 
It was dark by the time I got home ,Ngo namub haaikuho kan kunum 
It was his bicycle that was stolen ,Hoqg doconam baisaikelhv mwwg hibanyi 
It was like a bolt out of the blue ,Hoqhv jeenyeq pengkolo pwrtin nan akub nyibanyi 
It was nothing less than a miracle ,Hoqhv swrdorxe ham anio yaama hibanyi 
It was quite dark when I got there ,Ngo olo wwcyikugho kan kunum 
It was really loud inside the club ,Sookumkoho jvqtwjaqb vcloodab od dunum 
It was very cold yesterday morning ,Murwg arhv vcloodab swkwr hibanyi 
It wasn't Tom who lit the campfire ,Wm parl soonam ham wm rwlwqbov Tom ma 
It worried me that she looked pale ,Kaanamv mwn lwwm-lwws yin ngam boskunum 
It would be crazy to do that again ,Ham lwgta nyikurdub hwwybwjwrdo 
It'll be really lonely without you ,No doomabalo jvqtwjaqb ngo vp cwkwb mwwtayi 
It'll cost you more to go by plane ,Ura jaajho wwbalo noqgab twnkv vigo wwtayi 
It'll make sense when you're older ,Hvdlo no akamyikun hv nam mwwlaqmvtayin 
It'll probably rain this afternoon ,Suyumam nyodosi hokamyinpv 
It's 300 miles from here to Boston ,Soqgv Boston gab 300 maayilgob nyido 
It's a difficult country to govern ,Soqg nyooksi kaol doogdub vs-axaqjaqpa 
It's a pity that you couldn't come ,No haakmaagumgab ngo aniamwwpanum 
It's a popular tourist destination ,Soqsi gvvdag nyiv hookuml kaak nyookgo 
It's a step in the right direction ,Soqg kornamsi albo dayab wwgdo 
It's about time you went to school ,Noqg iskul wwyikho hv mood hikbanyi 
It's an hour's walk to the station ,Gaari xarnuko hv soqgv swlw duur akgob wwdwn 
It's been raining for about a week ,Si kvn gob nyodongv hodub dooiku 
It's been raining since last night ,Si kenyum oyum hoqgv nyodongv hol doodku 
It's doubtful whether Tom will win ,Tom mvyasutayinyv mwumjaqpa 
It's funny you should mention that ,Ham no bepakinybanyi mwwnyirjaqpa 
It's illegal to park your car here ,So noqg kaaram xarpnum hv pvvb juqbodo 
It's more dangerous than I thought ,Ngoqg mwwnamham si kooiyab kaal gooknyi 
It's more difficult than you think ,Noqg mwwnam ham si kooiyab vs-axaqgooknyi 
It's more fun than drinking coffee ,Kofi twwnam ham si kooiyab twwngambo kunyi 
It's more than a hundred years old ,Si vnyi lwwg palekunbo ak goonyi 
It's my dream to win a Nobel Prize ,Nobvl Prayij hv ngoqg naadub mwwl dooknam akv 
It's no longer pitch black outside ,Kayabo alam wwbol loqlum jwwkdookma 
It's no use crying over spilt milk ,Gwwi tooxakugab xabnamv hog nyiqtuqdooram 
It's no use trying to convince Tom ,Tomwn binyubdub benam hv hog nyiqtuqdooram 
It's not difficult to speak French ,Franc goodub hog vs-axaq doomasulak 
It's not easy being married to Tom ,Tomwn nyega naanamsi hog swrso kaapama 
It's not like you to cry at movies ,Soqsi noqg filumam kaal xabnam hvbmalak 
It's not likely to be hot tomorrow ,Si aaramam hog og kindo hvl kaapama 
"It's not much of a surprise, is it?","Si hog vcjaqb lamdub nyima, hvbma i?"
It's not polite to stare at others ,Nyi asaqkam rogam nam hv aljima 
It's not worth reading any further ,Si hog samya kooyub pooryl nyiqtuq kaapayima 
It's obvious why his stomach hurts ,Si mwwkadub nyido hoggab mwwg kepongv vcdvn 
It's popular among senior citizens ,Si axa tulug pengkolo vigo nyidwn 
It's possible that Tom lied to you ,Tom nam wmvpa hvl hengkygvdo 
It's rude to talk during a concert ,Bemin bel sookla sam goonamsi yoludub nyido 
It's said that he knows the secret ,Mwv begomv mwv uurw pagoqkam cengdwn hvl 
It's so heavy that I can't lift it ,Si vcjaqb vvikogab ngo sam joorub lama 
It's still too cold to wear shorts ,Si sijaxab vcjaqb swkwrkogab otubo vj koodub nyimata 
It's the only possible explanation ,Siitwqpa betomdeesvngv 
It's the perfect moment for a kiss ,Moopupdub siija aljaq mood gooknyibo 
It's time for you to buy a new car ,Si noqgab nit kaar rvd mood gookbo 
It's time you went to the barber's ,Si no duum sabkub wwk mood goopalak 
It's your turn to tell me a secret ,Sija ngam noqg kisnumam betomdv mood gooku 
JST stands for Japan Standard Time ,JST hvnamsi Japan standard Time hvnamv 
John met Mary on his way to school ,Meerin Joon mwwg iskul wwk lamtaho kaapanum 
Just do what your mother tells you ,Nam noqg an hogv nyitwk hvpan ham nyitwqto 
"Just so you know, I'm an FBI agent ","Noqg cengnam hvb, ngo FBI gab nyinbongv "
Kyoto and Boston are sister cities ,Kyoto ngvla ho Boston jila hv vny-bwrmsu hvb nyidwn 
Lack of food made them very hungry ,Dvs doomakogab bulam vcjaqb kanodub mvnum 
"Last year, there was a bad harvest ","Mwnyw vnyiho, aam naapamab nyinum "
Leaf after leaf fell to the ground ,Uk kookwb ukv kedho hool kunum 
Learning English requires patience ,Inglisam cengdub cwqdub nyidwn 
Learning a foreign language is fun ,Nyoodo agumam cengnamv mwwnyir ak jaq goopa 
Leave more space between the lines ,Hib vnyig pengkongam aadodub pvvto 
Leave some cake for the rest of us ,Ngul dvmabogab keek meeg pvvlaka 
Let me introduce my parents to you ,Nam ngoqg an-abam nam kaatomtayin 
Let me introduce you to my parents ,Ngoqg an-abam nam kaakintvs 
Let me know when you need me again ,Ngam no hvdlo hvraqb nyintayin ham ngam betomla 
Let me think about it a bit longer ,Soq pagoqsam ngam micung goota mwwkamvtub 
Let's begin with the first chapter ,Kuj cengs otuq aksam cengrobtuj 
Let's discuss the matter right now ,Pagoqkam sijada gooxadaqtju 
Let's discuss this at another time ,Sam asaq moodgol gootuj 
Let's eat now  I'm dying of hunger ,Kuj sija dvdatuj  Ngo kanob sitaduku 
Let's find Highway 483 on this map ,Soqg meepso kuj 483 haai huv ham meepatuj 
Let's just try to have a good time ,Kuj albo moodam kaapadub nyikatuj 
Let's meet in front of the library ,Laibrari dook ol ngulv kaapatuj 
Let's meet in front of the theater ,Sinima nam dook ol ngul kaapatuj 
Let's not deviate from the subject ,Kuj goos pagoq hoqkv asaq goomabuj 
Let's pick flowers from the garden ,Kuj boolu oloqkv opulo putaj 
Let's stop this fruitless argument ,Kuj soqg nyiqtu lengyin maanbo haqyaminsnam sokv opaqtuj 
Let's wait here till he comes back ,Mwv hookur namgob so kaayatuj 
Life is often compared to a voyage ,Swwgam lwxiam iss ho nyoody boonamam tvtin sudwn 
Life without books is unimaginable ,Kitap doogmab swwnamsi mwwclamanumgo 
"Like his father, he has many books ","Mwwg ab hvbkalam, mwwgv kitapv vigo doodwn "
Look at me when I'm talking to you!,Nam gooduyin ngam kaagabto!
Look at me when I'm talking to you ,Nam gooduyin ngam kaagabto 
Look up the word in the dictionary ,Gomciram diksonariho kaato 
Look! There's a cat in the kitchen ,Kaato! Iky aame imiq v yvdo 
Love began to grow between the two ,Abyminsnamv nyi vnyig pengko hoqgv swwrobdvn 
"Luckily, Tom didn't break anything ","Nvtaqpa, Tom hog ak kam mvdubma "
Magda is going to marry a Spaniard ,Magda Ispen ak nyem naatado 
Man is the only animal that laughs ,Svdin pengkolo nyiv twqpa nyirnbov 
Manuela's dresses are very elegant ,Manyulag vjv kaangam jaqpa 
Many Asians are lactose intolerant ,Esiya nyiv vigo gwwiam cwqlamaadwn 
Many museums are closed on Mondays ,Hvvi aalam myujum vigon mvtumdvn 
Many people were killed in the war ,Nyob pakho nyiam vigo mengdwn 
Many small companies went bankrupt ,Aniobo kompani vigon twnk dookmab nyidwn 
Maria Callas has a beautiful voice ,Mariya kalas guule tangam jaqdwn 
Mary and Alice are Tom's daughters ,Meerila Elis buny Tomwg nyem kov 
Mary and Alice are identical twins ,Meerila Elis bunyv ayin sunbo bwwpyom namv 
Mary and her boyfriend got engaged ,Meerila ho mwwg nyemko ajin bunyv nyem-nyega bengaqminspaku 
Mary asked Tom to zip up her dress ,Meeri Tomwn mwnwg vjam swrtum tubwk hvl benum 
Mary believes in the power of love ,Meeri abynam atoram mwwjwdvn 
Mary came up to me when she saw me ,Meeri ngam kaapatvl ngoqg dookub caanum 
Mary changed into her evening gown ,Meeri mwnwg oyum koos vjam kwlynum 
Mary has danced since she was five ,Meeri mwnv vnyi nyiing yik hoqgv narl soorubkunum 
Mary is a professional pole dancer ,Meeri narl sookybov 
Mary is going to have another baby ,Meeri ko akta bvvtaduku 
Mary is more attractive than Alice ,Meeri Elisnv koojub yaado 
Mary is the prettiest woman I know ,Ngoqg cengnam pengko hoqgv Meeri mwlwngam kaajub yaanbogo 
Mary isn't as active as her sister ,Meeri mwnwg bwrm hvdgo nyibia yooma 
Mary placed her purse on the table ,Meeri mwnwg twnk cukam badaho apnum 
Mary pretended to polish her nails ,Meeri mwnwg lvqsinam neexaqdvn hvb nyik-nyipaql doonum 
Mary really takes after her mother ,Meeri jvqtwjab mwnwg an daya wwpa 
Mary thinks martial arts are silly ,Marsel arsv soomin namgo hvl Meeri mwwnum 
Mary visited her husband in prison ,Pvtwho Meeri mwnwg nyolam kaatab wwnum 
Mary was hardly a shrinking violet ,Meeri micung gookam lwwm-lwwlma 
Mary was unaware of her own beauty ,Meeri mwnwg kaangam namam cengsmaanum 
Mary was wearing a tight red dress ,Meeri kaqtinbo lwwcibo vj ak gvnum 
Mary wore a silver pin on her coat ,Meeri mwnwg kuutho rup silo ak gvnum 
Mary's back pain was torturing her ,Meerig hwnk vce mwnwn yubk-kvrk doomadub mvnum 
Mary's hair is blowing in the wind ,Meerig duumv dooiho ywql wwdo 
Mathematics is a difficult subject ,Metametiksi vs-axaqbo cengsgo 
Mathematics is my favorite subject ,Metametiksi ngoqg mwwswnam cengs akv 
May I accompany you to the airport?,Nam ngo ura jaaj jaanuko namgob wwmin gvtws i?
"May I have a glass of milk, please?","Nyibiab, ngam gwwilo ujuq juqg jilabvkv?"
"May I have a glass of wine, please?","Nyibiab, ngam opolo ujuq juqg jilabvkv?"
"May I speak to Tom Jackson, please?",Ngo Tom Jaksonwn bekatvnbvkv?
May I stay with you for a few days?,Ngo noqg dookub meeg aalgob dooda i?
May I take a shower in the morning?,Ngo aram horsda i?
Maybe I should've done this sooner ,Lwgpalo ngo sam nyibiab nyiyin hibanyi 
Maybe Tom will sell you his guitar ,Lwgpalo Tom mwwg giitaram pyuqkam yinpv 
Maybe Tom would be willing to help ,Lwgpalo Tom svkadub mwwlwq xampade 
Maybe we can talk about that later ,Lwgpalo ham ngulv kookwngam goolayinpv 
Measure each angle of the triangle ,Trai engvlg engvl ax ciram xikato 
Men aren't so different from women ,Nyegangv nyem hoqgv vigo luusaq maadwn 
Mercury has a very thin atmosphere ,Markari hv dooiv vigo booyodvn 
Millions of people lost their jobs ,Miliyon nyiv bulug boon nyinamam yuuxamvpaku 
Miyazaki is not what it used to be ,Miyazakihv otuq hvb nyikma 
Moderate exercise will do you good ,Lvparab gumy-gumcal nyibalo no alyinup 
More women than men commit perjury ,Nyega hamy nyemv vigo dimbumdvn 
Most boys take after their fathers ,Nyega kov mvqlwq yaagwn ab dayab wwdwn 
Most of them were college students ,Bulv kooiyagwn kolejho honynamv 
Most of what you just said is true ,Nulug sija benam mvqlw yaagwn jvqtwngv 
Most writers hate being criticized ,Xeqnbo maqlwq yaagwn alub xeqma hvl bek koodwn 
Mr  Jackson is a very good teacher ,Nwrm Jakson vcjaqb alub tomswrbo akv 
My French teacher isn't a Canadian ,Ngoqg Franc tomswrbov Kanada nyi ma 
My aunt dropped in on me yesterday ,Mooyo ngam ngoqg mwi baqajiknum 
My aunt sent me a birthday present ,Ngoqg mwi ngam ko bvvd aky ak jilwqpa 
My brother gave me a pair of jeans ,Ngoqg aci ngam jiin rumnygo jipan 
My brother has a gift for painting ,Ngoqg aci toj neegamho cin yirtaqnamgo 
My brother is a first-year student ,Ngoqg aci kolejho vnyi nyigub poor reekaxeqdwn 
My brothers and I all share a room ,Ngoqg acila ho ngo cwrw akinho dooyintayin 
My children don't speak French yet ,Ngoqg ko tulungv sijaxab Franc goocin maatadvn 
My computer won't start up anymore ,Ngoqg kompyutarv sijaxab mvkalamata 
My daughter visits me now and then ,Ngoqg nyem kov ngam sija sija haal kaadwn 
My dog always barks at the mailman ,Ngoqg ikyv lwxiam pui xeqnamam baqyaboam pwdwn 
My dog often pretends to be asleep ,Ngoqg ikyv lwxiam yubdwn hvb nyikydvn 
My dream is to go to Japan someday ,Ngo aal loog Japan wwdub mwwl doodwn 
My e-mail address has been changed ,Ngoqg e-mail eminam kwlypakun 
My family goes skiing every winter ,Ngoqg imiqkv swkwr pool lwxiam epin rwxaqdvn 
My family goes to Italy every year ,Ngoqg imiqkv vnyi nyiixam Italib wwdwn 
My family thinks I've lost my mind ,Ngoqg imiqkv ngam ngoqg mwwjv nyiipaku hvl mwwdwn 
My father began jogging last month ,Ngoqg ab kenlwg pool hoqgv juqy-juqcal nyirobpan 
My father got home late last night ,Ngoqg ab muyig aiho nyibiab haakmaanum 
My father is out in the garden now ,Ngoqg ab sija boolu v yvdo 
My father is the tallest of us all ,Ngoqg ab ngulug pengkolo mwlwngam ao yaanbongv 
My father loves to play the guitar ,Ngoqg ab giitaram soodub abydvn 
My father loves to travel by plane ,Ngoqg ab ura jaajho wwdub abydvn 
My father retired at the age of 65 ,Ngoqg ab vnyi 65ho boon nywkmab doonu kunum 
My fingers left marks on the glass ,Ngoqg lvqci laqmv vrsho doonum 
My friend says that she's suicidal ,Ngoqg ajinv begomv mwnv atv mengsul sitayi hvl 
My grandfather died when I was boy ,Ngo anio xeqykoho ngoqg nyekam ab sinkun 
My grandfather turned 89 years old ,Ngoqg nyekam ab vnyi 89 paku 
My guess is that it will rain soon ,Ngo mwwnamv nyibiajaqb nyodo hotayi hvl 
My heart was filled with happiness ,Ngoqg haangv hemp lvgab xumtdo 
My hobby is collecting old bottles ,Kucuqbo botol tulungam dvrkum nam hv ngoqg nyibiq nam jaqkv 
My house was bombed during the war ,Ngoqg namam nyob paikoho bom buqxagvnkun 
My husband is watering the flowers ,Ngoqg nyolv opungam iss jidub doodo 
My internet connection was cut off ,Ngoqg intarnetv dwrtupaku 
My mother and I were in the garden ,Ngoqg anvla ho ngo booluho yvnum 
My mother is a high school teacher ,Ngoqg anv haai iskulho tomswrbo akv 
My mother is busy preparing supper ,Ngoqg anv oyum dvsam moomajaqb nyil mvdudo 
My mother isn't like other mothers ,Ngoqg anv asaq an hvb nyimadvn 
My mother set the table for dinner ,Ngoqg anv oyum dvsam dvdub dvtamho mvx-mvaqpa 
My mother teaches flower arranging ,Opungam hogub pvvtayin ham ngoqg an tomswrbov 
My mother told me to behave myself ,Ngoqg anv hogub nyil alub swwtayin ham ngam betompan 
My mother washes clothes every day ,Ngoqg anv aal looxiam vj nyiixaqdvn 
My mother worries about everything ,Ngoqg anv hoolu luuxiam mwdwqdvn 
My name doesn't appear on the list ,Ngoqg eminv emin xeqkho lengmalak 
My older sister is good at singing ,Ngoqg atv bemin bekgab aljaqdwn 
My opinion is different from yours ,Ngoqg mwwjv noqg mwwj hoqgv luusaqdo 
My parents wouldn't let me do that ,Ngoqg an-abv ham nyimdeema 
My passport will expire in October ,Ngoqg paasport moodv Hil poolam wwyumtaiku 
My promotion hangs on his decision ,Ngoqg promusonv mwwg dook hv hoqtutvl doodo 
My sister is having a baby in June ,Ngoqg atv soo poolam ko ak dootayikun 
My sister is older than my brother ,Ngoqg atv ngoqg anam xoox yaapaku 
My sister is very fond of children ,Ngoqg atv ko tulungam vigo hempgvdwn 
My sister resembles my grandmother ,Ngoqg atv ngoqg xoox anam kvvyiqdo 
My sister saw it with her own eyes ,Ngoqg atv sam mwnwg atwg vnyiq hoqgv kaanum 
My sister showed a new watch to me ,Ngoqg atv ngam nitbo mood kaan nan ak kaatomnum 
My son gets on very well at school ,Ngoqg nyegakov iskulho aljaqb poorydvn 
My son is engaged to his secretary ,Ngoqg nyegakov mwwg sekreteringm nyisam nyimdub jipa 
My success was largely due to luck ,Ngoqg nyiqtuq lengnamv kooi yaagwn nvtaqku ho nyipa 
My uncle has a farm in the village ,Ngoqg kwigv nampumho rongo ak doodwn 
My wallet and passport are missing ,Ngoqg twnk cukvla ho paasportv nyiinkuba 
My watch gains two minutes a month ,Ngoqg mood kaan nanv poolam ninit vnygob vbwdo 
My watch loses three minutes a day ,Ngoqg mood kaan nanv aal loogam minit oumgob nyiikydvn 
My wife has just cleared the table ,Ngoqg nywxwngv sijada badangam neexaqgvnba 
My words were taken out of context ,Ngoqg gomcirv nyia-wwa hoqgv naalin namgo 
My youngest sister sings very well ,Ngoqg bwrm aniangv bemin gab aljaqdwn 
Nearly all Japanese have dark hair ,Japan maqlwq yaagwn hoqg duumv kayadvn 
Neither Tom nor Mary was impressed ,Tom neekam ho Meeri neekam biur-niurma 
Never be afraid of making mistakes ,Nyimurdub lwgkam bosmaabv 
Never bite the hand that feeds you ,Nam hoon nan alaqkam lwgkam cemabv 
No further discussion is necessary ,Sam opaqtvl hvraq kooi goos dooma 
No one I know knows how to do that ,Ham hogub nyitayin ham cengnbo hiyamkam ngo cengma 
No one I know talks to Tom anymore ,Tomwn benbo ak kam ngo cengma 
No one lives in this house anymore ,soq namso nyi ak kam dookmaadwn 
No one should ever have to do that ,Ham hiyvkam lwgkam nyidub nyima 
No one understands what's going on ,Hogv nyidudo ham hiyvkam cengma 
No one was punished for the fiasco ,Yolu-swcin gab hiyamkam hvngtwrdub jima 
Nobody I know knows how to do that ,Ham nyidub cengnbo nyi ak kam ngo cengma 
Nobody knows what will happen next ,Kookwngam hogv nyitayi ham hiyvkam cengmadvn 
Nobody lives in this house anymore ,Soqg namso hiyvkam dookmaadwn 
Nobody was listening to the speech ,Goonamam hiyekam tagabma 
Nobody was paying attention to her ,Hiyvkam mwnwg goonamam tagabma 
Nobody's getting out of here alive ,Soq soqgv nyi ak kam tordub lengkma 
None of Tom's classmates liked him ,Tomwg klas doobam hoqkv hiyvkam mwam abymaadwn 
None of the telephones are working ,Telipun akin goonkam alma 
"Normally, we eat three times a day ","Ngulug dvcingv, aal loogam lwumgo dvs dvdwn "
Not all Germans like to drink beer ,Jarmam mwlwngv bearam twwnwmaadwn 
Not all of the boys laughed at him ,Nyegako mwlwngv mwam nyirjmaanum 
Not all of us are against his idea ,Ngul mwlwngv mwwg benamam ceekoma 
Not all those students are present ,Oloq honynam mwlw v doomanum 
Not everybody knows about the plan ,Nyisam hiyvkam cengma 
Not everyone here can speak French ,So doonbo hiyvkam Franc goolaqmaadwn 
Nothing is achieved without effort ,Ator taqm nyimabalo hog ak kam kaaparam 
Nothing seemed out of the ordinary ,Akin goonkam aljaqnbo hokv kaapamaadwn 
Nothing seems to grow in this soil ,Soq kedso hog ak kam swwma 
Nothing's working out for me today ,Soolo ngoqgab hog ak kam nyilinma 
Now I have to start all over again ,Ngo sija lwgta mwlw hoqgv nyirobdub nyipaku 
Nowadays many people travel by car ,Sija moodso nyiv vigo kaarho wwdkun 
Nowadays no one believes in ghosts ,Swnyw sool nyi akin goonkam oramam mwjwkumadvn 
Nowadays nobody believes in ghosts ,Swnyw sool hiyvkam oramam mwjwkumadvn 
"On Sundays, the museum is not open ",Wjw aalam myujumam mvkomaadwn 
One after another the animals died ,Akwn hoqgv akwnb svdinv siknum 
One difficulty after another arose ,Vs-axaq akwn kookwb akwn lengdwn 
One learns from one's own mistakes ,Nyiv akwg nyimur hoqkv cengsdvn 
One of the piano strings is broken ,Piyanog soomaq akwn dvrtupaku 
One stayed and the other went away ,Akwn doonum ho akwn wwleqkunum 
Only a few students can read Latin ,Honynam anio goontwq Letinam reelaqdvn 
Oranges contain a lot of vitamin C ,Riitv bitamin C ngv vigo doodwn 
Our boat followed a school of fish ,Ngulug iss jaajv iskul akwg ngui kookwb wwmin gvnum 
Our dog buries bones in the garden ,Ngulug ikyv booluho alo tuulungam liil apnum 
Our financial problems are serious ,Ngulug twnk vs-axaqkv sig-dorgv kurumpaku 
Our galaxy is called the Milky Way ,Ngulug Glaksi ham Milki Huv hvl bedwn 
Our interests conflict with theirs ,Ngulug hwrcingv bulug lvgab tubxoq supaku 
Our soccer team has a good defense ,Ngulug lvlum donbo acam hv damturbov aljaqpa 
Our teacher comes to school by car ,Ngulam tomswrbov kaar lvgab iskulub haadwn 
Oxygen is necessary for combustion ,Oksijenv kombason gab nwwkydvn 
Pasteur experimented with bacteria ,Pastiyor bekteriya lvgab cengdub nyikanum 
People are really stupid sometimes ,Lwgwn nyiv jvqtwjab pacadvn 
People are so competitive nowadays ,Swnyw sool nyiv vcjaqb nyikasudku 
People don't always tell the truth ,Nyiv lwxiam jvqtwngam betom maadwn 
People tell me I have a nice voice ,Nyiv ngoqg guule tangam jaqdwk hvl betomnum 
People used to think that was true ,Hoqhv jvqtwngvbo hvl mwwkydvn 
Perhaps I can answer that question ,Hvbmaabde hoqg toxnam ham ngo birwqtayin 
Perhaps I didn't make myself clear ,Hvbmabde ngo atam atv dvrdardub mvmanum 
Perhaps I will never see you again ,Hvmabde ngo nam lwgkam kaakram 
Perhaps Tom would enjoy doing that ,Hvbmabde Tom ham nyil hemp xampade 
Personal hygiene is very important ,Atam dvrwqdub mvnamv vcjaqb xinamv 
Playing cards is a popular pastime ,Otuq moodgab taas soonamv vigo tapanam akv 
Playing in the street is dangerous ,Lyobyuho sool yvnamv kaalgo 
Please accept my sincere apologies ,Ngoqg hvvji soqg mwwl opaqtub hvl benamsam mvny-mvyo gvdwl nvvrwqtub 
Please answer this question for me ,Mvny mvyo gvdwl soqg toxnam sam ngoqgab birwqtub 
Please ask at the information desk ,Betomko olo mvny-mvyu gvdwl takata 
Please be ready in fifteen minutes ,Minit vyil angam mvx-mvaqlaka 
Please deposit the money in a bank ,Twnkam benk olo jilwqta 
Please don't do anything dangerous ,Kaal akin goonkam nyimabv 
Please don't drink from the bottle ,Botol hoqgv twwmaloodabvka 
Please don't make me do that again ,Ham nyimdub ngam lwgta mvtub 
Please don't touch the merchandise ,Kwmkor mvnboam mvny-mvyu gvdwl mvneq loodamab 
Please eat it while it's still hot ,Sam og xeedub dvtka 
Please enter a valid email address ,Albo email eminam xeqlwqto 
Please explain this sentence to me ,soqg gomcir xeqnam sam ngam bedarpeeb 
Please fax me the application form ,Eplikeson foomam ngam feksho jilwqtubka 
Please fill this bucket with water ,Soqg upumso isslo rwqlwq tubka 
Please get out of here immediately ,Soq soqkv nyibiab lengrotuk ka 
Please help yourself to some fruit ,Atv atam svkagvdwl aaxy meeg naaslaka 
Please introduce me to a cute girl ,Kangam jaqnbo nyemko ak ngam betomtvbka 
Please leave my things as they are ,Ngoqgam hogub doonum hvbkalam doomtubka 
Please make yourselves comfortable ,Atv atam swrsomolodub mvslaka 
Please move the TV set to the left ,TV ngam laqcdayab pwrbo tubka 
Please pass me the salt and pepper ,Ngam oloq al alamla teer alam naabotvbka 
Please put a stop to this nonsense ,Soqg mwwcinmab benam-wwnam sam opaqtvka 
Please remember to mail the letter ,Pui xeqnam ham jilwqmab mwwpamab nyimabvka 
Please reply in Chinese or English ,Inglis hoomalo Cainisho xeqrwqtvbka 
Please say the alphabet in reverse ,Lvr ham bekub gvdwl betbvka 
Please send it by special delivery ,Sam aljaqb jinboho jilwqtvbka 
Please shuffle the cards carefully ,Soon nan ham ania alvb mvcumtvbka 
Please speak as slowly as possible ,Hvdgo aniodub gooladvn hvdgo gootbvka 
Please take a look at this picture ,Soqg gus sam naagdvl kaatbvka 
Please tell me the story in detail ,Gonam aniajaqb ngam betomtvbka 
Please turn up the air conditioner ,Hvyiqb dooi lengmbo talam pentumtubka 
Please welcome our next contestant ,Ngulug akwn nyikasudbo ham albv lengto hvl betjuka 
Please write down everything I say ,Ngo hogv bepan mwlw ham xeqtbvka 
Please write to me once in a while ,Ngam lwkin gookam xeqlaka 
Police officers wear blue uniforms ,Pulis saabv jenyeqbo yuuniformam gvdwn 
Precise measurements are necessary ,Jotdub xikanumv nyidubja nyidwn 
President Roosevelt agreed to help ,President Roosbelt svkatainvk hvl loorwqpa 
Prices are very high in this store ,Soqg noosuso jotdubja nyidub nyidwn 
Prices depend on supply and demand ,Jotnamv konbo hoola ho naanbo ho aoho doodwn 
Prices have reached a 13-year high ,Jotnumv kooijaqb vnyi 13ho hvvcpaku 
Promise me you won't do that again ,Ham lwgta nyitakuma hvl no dingrto 
"Put me through to the boss, please ",Ngam atwg hoqgv jilwqmvmtvbka 
Put that in your pipe and smoke it ,Sam noqg swlwho tvlwqtvl ho sam twwto 
Put the chair in front of the desk ,Dootumnan ham bada bwwyirho tvpto 
Put the vegetables in the strainer ,Oo ngam apnanho pvvto 
Put these suitcases somewhere else ,Soqg suyitkes tuulusam hog gol apto 
Put this book on top of the others ,Soqg kitap sam mwwlwg aoho apto 
Remember to meet me at the station ,Xarnuko olo ngam mwwpataka 
Remember what I told you yesterday ,Mooyo hogv nam goopan ham no mwwgablaka 
Remove your hat when you go inside ,Uurwb haaikam no noqg boopyangam tupaqlaka 
Revenge is a dish best served cold ,Kwly nanamv hvyi dvs dvnam ak jinam hvb nyidw 
Riding a horse is really thrilling ,Svpuram xarnamv hwwibwjir jaqdo 
Rio's carnival is held in February ,Riyog sookum soonamv Rajo poolam nyidwn 
Rural life appeals to me very much ,Ngam nampum ho doonwjaqdo 
School lets out at half-past three ,Iskulv oum papongam wwmdukun 
Security was increased in the city ,Jilaho sipaiyam viyag jilwqpa 
Send it to me as a compressed file ,Soqg faayilsam putintvl ngam jilwqla 
Seven is said to be a lucky number ,Kvn sam nvtaqnamv hvl bedwn 
Shall I give you something to read?,Nam poorymvdub hog ak jitws i?
She accompanied me to the hospital ,Mwnv ngam hospitolho wwmingvnum 
She accused me of making a mistake ,Ngam mwv nyimur panwk hvl bepan 
She advised him to read more books ,Mwnv mwam kitaplo vi yayag poorytvk hvl benum 
She applied a bandage to the wound ,Mwnv uunam puutum nan ak puulwqnum 
She asked me if I knew her address ,Mwnv ngam mwnwg dookam cengdnvi hvl toxnum 
She asked me who had arrived first ,Hiyv otuqjaqb haac coqnum hvl ngam toxnum 
She assumed an air of indifference ,Dooi luusaqho mwnv nyirobkunum 
She baked her husband an apple pie ,Mwnv mwnwg nyolgab togu aax pug kaqjnum 
She banged the table with her fist ,Mwnv mwnwg laqpyub hoqgv badangam kwdin num 
She blamed her failure on bad luck ,Mwnwg nyiqtuq lengmanumam nvtaqmaagamgab nyipan hvl benum 
She came in with tears in her eyes ,Mwnv mwnwg vnyiqho nyiqsv rwlwq-rvlaqtvl haanum 
She came to Tokyo at the age of 18 ,Mwv Tokyoho 18 vnyi akam yikho haanum 
She caught him smoking a cigarette ,Mwnv mwam sigeret twwdub nootunum 
She complained about my low salary ,Mwnv ngoqg dormangv aniodo hvl supnum 
She congratulated me on my success ,Ngoqg nyiqtuq lengnamgab mwnv ngam alub nyipa hvl paqnum 
She could not believe what she saw ,Mwnv hogv kaapanum ham mwv mwwclakmaanum 
She cried when she heard the story ,Mwn gonam tatwl mwnv xabnum 
"She did come, but didn't stay long ","Mwnv haanum, hvbmabde vigo doomanum "
