English,Tagin
I will continue the continue,ngo kibwng re
move your hand in group,nonu alakv ibam tho
count around,kikar
your child did not come here,no kuu anga so aama kv
He fired but missed,v mabuk abnamv apjik ma
if I become like the water,ngo isi gobv ribo lo
My name is Pastor Takar Tani.,Ngo gv aminv pastor Takar Tani.
stay there,oloo dooto
Hands off,alak naaro to
He ran,bww jukpa
I'll live,ngo svvre
Anyone can see that,mwnww vh vm kaapa re 
Are we just friends?,ngunu hvbv ajin ri?
I keep vomitting while traveling in a vehicle,gaari lo vvbo lo ngo bvvdv-bvvdv do
What's your favorite insect?,no gv alv yasuk nv tapum hugu la?
I'm happy,ngo hingam pa
tanya is coming down,tanya iri
Just as all the good that comes from the pencil is from within itself,pensil gv ribv ara lokv alv nv mwwnam aado
Did anyone tell Takar?,Takar vm nyi tvka pvnv ri?
I'm free,ngo anyu do
Why are you being foolish?,no hugu aam-aram dunv?
He entered the army,bww armi lo aaro ku
Did Takar have a plan?,Takar gv mvlin nam mvpv nv ri?
Our paddy fields and tiny huts,Ngunu gv rvngo nampom
tara is removing the mithun meat skin,tara subu apin rikdu
applicable,mvla nam
Are you still angry?,no hvjak gobv haachibww pvnv ri?
taro is blessed well with the power of ancestors,taro nyi abu-apa ngv kida jipv
America is very big,amerika ngv hoodo pa
Tapar cuts the tree with an axe,Tapar Yagv lokv svvnv tvvdo
Hug Takar,Takar nyi chegap to
One summer,dwrw polo lo
do decide,hvbwk tho
I'm tired,ngo aagar-ayar pa
Do you drink coffee?,no koopi tvvdv nv ri?
yam is easy to roast,vngin si baapu do
A. The Final Commandments and Prophecies of Jesus (Matthew 1:14),a. Jisu gv minyungminya bv gamki kunam okv milvnam (1:1-14)
Takar died,Takar siro
whether you drag me forcefully,svkup-svlik mvda kam
we call that yumi uyu as lwbw-laksu,Ho yumi uyu so ngunu Lwbw-Laksu gubv mindo
may our leader live longer,Ngunu vm regvnv si sinsoo laka
Can he speak French?,mw French gaam raachin do?
my mother is filling up water,ngo anv issi gyado
can not find a point to start measuring here,si kiging-kipa kaapa
I got it,ngo vm naapv ku
I have cut my finger myself,ngo lakchi nga peesu pv
by baby has started walking,ngo anga korrap duku
You're all racists,nulv ako nv nyi vm hiya-kaya bv mwwdo
he is my elder brother,hv ngo kv achi
Younger brother,buru
Tana is becoming rich due to his dedication,Tana uyu-vram bv rila nyetv ribo
where is the thing that needs to be poked?,bwkse ngv hugu lo?
Don't take too long,aso-koyo bv naama bv ka
arithmetic,kinam
yaka died because of you,no gv gorbv lo yaka ngooria hibv
Could you sing here?,no so saain mvla re?
to break a stick,seeda kiotar
The Resurrection of Jesus Christ and the People of the Faith: 15:1-58,Jisu Kristo gv turkurkunam okv mvngjwngnv vdwgv: 15:1-58
Whom to give this?,Hvyv nyi jire?
Hilo nyugwng is called as Tamya Hilo,Hilo nyugwng hv tamkw hilo tamya Hilo gubv mindo
I'm ugly,ngo kaaru do
Does Takar understand?,Takar tvchin do?
Why was I called by your father?,Ngam hugu lvga bv no abu gokdo?
apices,mwlww ngvm ayor nv
"I pray that I will give you this kind of word in the name of Christ, my mothers and fathers and brothers and sisters.","Ngo kv anv vdwa, abo vdwa, abwng-achi, borme-buru vdwa, ngo nonu vm jisu Kristo ge amin lo svkv nv gaam go minji gvrela ngo kumdu de."
Jesus’ Resurrection and Appearance to the People (Luke 28:1-20),Jisu turkurkunam okv nyi vdwa kaatamsikunam (28:1-20)
Don't be disgusting,kaau-bvriak nv nyi rima bvka
How is it?,si hugu ripv?
and the resurrection of the dead.,okv sinv vdwgv turkurkunam.
3rd elder sister,aai
speak promptly at arrival,chaadak lo minla ka
I refuse,ngo ma hvdo
How weird!,kaachi kaaya ngv!
papa is cooking food,abo achin mvdo
I'm boss,ngo mwnwngvm kai bongv
architect,bwli
Do you have a phone?,no phone aku dodo?
never seen like this before,anyii-sa sikv gu kaaka ma 
tara might have found my lost money,ngo morko hoa nvnga tara paachin re
Do you have a cough?,no vsik siknam gu dodo?
the yumi altar is deconstructed in the morning after the third night or in the morning after the fifth night ,Yumi hv nyubom gv aru nyi la nyubngu gv aru nyi paayak duko
He hung up his coat,v atu gv pyak vm hagyin pa
I have two clothes,ngo iji bornyi go dodo
I'm going,ngo vvdenv
Takar likes to listen to podcasts,Takar podkast vm tvria dvbv alv bv mwwdo
Takar sat behind Yapi,Takar Yapi gv kokwng lo doopa
talk in same line,miyin bv minto
putting up a staircase,kooba tucha nam
Chew your food well,no achin vm alv bv jamto
Did you leave a tip?,no boksi gu apak pvnv ri?
Takar laid his head on the pillow,Takar atu gv dumpo vm dumtak lo karpv pa
These days nothing comes in free,selu-meelu hugu ka anyu bv paku ma
Everybody likes him,nyi mwlw vm pakdo
Boil those potatoes,olo aluu vm huumto
Boil those potatoes,olo ingin vm huumto
Do you like my green hair?,no ngo gv yaji nv dumu vm kaagia do?
I'm good,ngo alv do
Did Takar do anything?,Takar hugu mvpv nv ri?
I will surely make a hole,ngo umruu duruu re
but she was too swayed by her own beauty,hvbv rilachin apu nw gv mobar-pala vm tvngor tvla doto
This was so that Jesus might become a teacher of the Law of God.,"So Gamlv so Jisunyi kainv tamsar nvgobv, Pwknvyarnv gv Pvbv nga japlarila nvgobv."
give hot water,isi agu nvlo jito
Fish is cheap today,svlu ngui arv ngv anyo do
Takar often watches horror movies,Takar diki bv busunam pilim kaado
Do you like my red hair?,no ngo gv donglvng vm kaagia do?
all the other deities also followed them,uyu mvnwng v koching-koching bv vvming gvla
this much is not the enough reason to go dapo,si dapo idum yooma
don't talk while combing,loobo tokying la agam rooma bvkv
the group of people have taken the money by cheating,nyii apamv morko nga kopla vnggv ro
All I have is books,ngo gv mwnww doobam nam ngo gv kitab nyum
Paul’s letter to the Corinthians was written as a reminder to the brothers and sisters in the church in Corinth.,Paul gv Korintian vdwa lvkchonam siti si ninyigv Korinth lo mvlin rilin kunam Gvrja gv mvngjwngnv vdwv Kristan singdung okv mvngjwng gv lvkwng nga adwkaku minsu nama mindar vngdar jinam bv lvktoku.
there is no birds of that kind,hvkv nv pvta dooma
I love it,ngo vm mwwcham do
I eat lunch,ngo lvnch dvdo
if food does not exist,Achin kaama bolo
you have never interacted with me,tvkor-gvkor kaka ma
The snake is not moving,Tabw biku-biv maado
bunch of cloth,iji huubam gu
You're a good wife,no alv nv nyimv go
Help!,mvdor to!
"I live in the beautiful village of Dugi, in the city of Daporijo.","ngo Daporijo gv pamtv lo, kaapunv nampam Dugi lo doodunv"
Are you going to go?,no vvdu bv ri?
He is a fast runner,bww baapu bv joknv nyi rido
Boil this pumpkin,Tapv vm kvvto
Do you have one rupee? ,No morko barken go do pai?
killed a pig for other,vrik hwwji
"e. Paul’s imprisonment in Jerusalem, Caesarea, and Rome (21:17—28:31)","e. Jerusalem, Kaisaria okv Rom lo Paul patwk dookunam (21:17—28:31)"
to stay as such,doodu kubv hvla
give little rice,achin ache gu jito
arena,sunam gwwda
Eat more vegetables,oo meegu dvbw to
Takar looks like he's embarrassed,Takar mooya-moi bv kaado
Dogs bark,Ikki v kudo
Husband,nyiga
Save Takar,Takar nyi reeria
You're introverted,no jabgi ma
Takar knows what Yapi is thinking,Yapi mwwdo hvla Takar chindo
Takar needs time to think it over,Takar mwwdv bv apo chinchi do
If we say from our ancestors' word the word Polo which we are referring to the moon we have to say Poolu,Ngunu Abuapa gv agam bv mimbo lo sijak gv Polo hvgv dunam so ngunu POOLU gubv minto
I have four clothes,ngo iji borpi go dodo
Doojing and Buru were formed from the front side of Sii,Sii gv harbv lokv Doojing la Buru hv limpv nv
what are you doing?,no hugu mvdun?
I have already used egg for chanting,kaalum pwpw vm chidum chiro ku
I am not in a position to count duw to bad health,ngo kigi-kipa ma
Taro was upset because he had done poorly in his English test,Inglis ekjam vm alv bv jima kv hvla Taro achvlv bv mwwdwk tvla doto
you are not sure building a home,no naam mvbwk ma re
a group of elder sisters,anyi sochum v
Where is his/her home?,hvkv gv naam v hugu lo?
you are pointing finger,no lakchi chido
baby was crying just before,kaju anga kapdw
whom you have voted,no hvye nyi vote nwkdo
men ar arriving in the home,nyii hv naam bv darcha ribo
you annoyed me but still I kept quiet,no ngam mindvk do hvbv rije ka ngo choyo bv doopa
don't change the decision now,agama miyvv kuma
like a tender bamboo shoot  grows,hvnv ripa bv daatv tvdu nv
"In addition to the words of this scroll, Mark did not write any of the words contained in the scroll except that others had been written.","Gamlv sokv lvknyanam lvga so mirinyi, mvrwnam gv arwng soka doonv gaam vdw sum Mark lvknya yaku mabv, kvvbi gunv lwknya pvku nvgo vla kam mindu."
You kid,Hvmi no
They hid in the bushes and surprised the cows and killed them all,nw bulu riibo dootv la suv mwnww vm gamki to
He hates air travel,v dorri mooyii lo vvgia mado
Give it to Tarok,So Tarok nyi jito
Don't smoke so much,hintar bv mwkw tvvyo
I have not seen you once,nam ngo lvku ka kaapa ma
He bought a new car,bww nutun nv kaar aku rvvpa
while the cactus stayed quiet,hvbv rijv kam tav seenv apam vh choyo bv doto 
want to see,kaanw do
Who have written this book?,SO kitab so lvkne hvyv do?
Hilo nyugww is also called as Soogwng,Hilo nyugww nga soogwng hvta do
we pray to donyipolo,ngonu Donyipolo nyi kumdo
Who have beaten the dog?,ikki a dvvnv hvyv la?
Even Takar knows that,Takar ka vm chindo
Don't act surprised,baa-hvria bv riba bv
if get chance to eat food,achin dvpa bolo
Whether it is a stealing or wrong saying the phrase oh sun you may be knowing what is happening were used by our ancestors,Nyi gu gaam gammor jekam dvcho-tvla jekam DONYI NO CHINDO KUCHO hvla kulu lokv minggi chado
I am taking you with me,nom v nala vvgv tvdu nv
I have a dog,ngo gv ikki aku dodo
Tree bark is bitter,Svngnv akok v kechak do
tara is slow in writing letter,tara sity lwkgvv do
Then the apostles began to ask the Jews and Greeks to remain faithful to God’s will.,Vbvrikunamv Apostol vdwv tvvka rapduku nyi mvnwng lvgabv jius okv Jentail vdwv Pwknvyarnv gv mvngnam bv kaajwk yachok bv dooredw vla tvvkala ritoku.
argentine,argentina nyi
let me wear your galok,nokv galok vm koka mola bv
tadu assumed himself great,Tadu abw-sii bv mwwsu la
Takar made me promise not to tell,Takar ngom nyi vm mimpa mabv kv hvla gamchu go mimpa pa
it is raining inside the house,naam arww si nyido ooa du
I will not refuse,ngo ma hvma re
you gave tara correctly,no tara nyi jijik do
Everyone lies to me,nyi mwlww ngom mvvdo
"Luke’s writings are full of joy, since the coming of Jesus is clearly indicated in the Scriptures.","Luk gv lvkpvnam so himpu vla minam gaamv achialvdo,Jisu gv aanama hum pvbwng alvbv mintamdu lvkchonam vdwso,"
Takar put another log on the fire,Takar mwrww lo vsww swkin go lvkpa
Can we believe that?,ngulu vm jeebam la re?
Let the birds and the animals live freely in our forest,Bumpi yaming go Taacha kaming go Dungmu laju
"John’s prophecy is the word of the living God, who said, “Jesus came out of the dead and is here with us.”","Jon gv Gamlv milambv minam si Jisunyi turbwngla doonv Pwknvyarnv gv gamchar gubv kaatamdo, yvvdw “Nyi gubv rilinla okv ngonugv dooku lo dooming gvkunv.”"
that is why while building altar a priest should always stand and chant for the sacrifice of mithun pig or a fowl,Ho lvga by Nyugwng mvbo lo nyubu hv naam dakla subu vrik porok ka nyugwng lo jilik pv lage
Do you like my red hair?,no ngo gv dumlw vm kaagia do?
through away the weed by uprooting,nvmwng so bua tho
The aquatic lives in the downstream of the river Sinyik are the gifts given to us by mother nature,Sinyik seko lo Rinchi amin go laanv diino
Husband's sister,rignv
Don't go,vvma bv ka
"When I grow up, I want to become an astronaut.","ngo kai rikubolo, ngo spacemanv ridubv mwngdo."
He accepted my idea,bww ngo gv mwwgam vm naarwk ro
give that gumpok,gumpok tangv olo naato 
don't ignite fire again,wmw ha mvar kuma
Don't say that word,hv agam vm jabma bv ka
Do as you think fit,no atu kusi bv rila kv
"Jesus himself claimed to be the Son of Man, and that He would come and forgive the sins of the people.","Jisu atubongv nyi Kuunyilo gobv minsuto, Nw aalaku atugv svngtung ham mvngnga tokula okv nyi vdwa rimur lokam naalin jikunv."
Takar promised to be here by two thirty,Takar anyi gola chamom apo lo so aare kv hvpa
Tara formerly lived here,Taro kvvlo so doonv mabe
"All people, both Jews and Greeks, should be righteous before God so that they can share in the power of sin.","Nyi mvnwng ngv, Jius jvka okv Jentail jvka anyibabwng ngv, Pwknvyarnv gvlo tarwkbak bv doorungdakrung dubv rirungdo, vkvlvgavbolo mvnwng ngv rimur gv jwkrw arwng lo lvkinbv dooladakla ridu."
How cute!,kaakin v!
Fish swim,ngui jaado
duck is holding fish in the beak,pvjap hv ngoi pabwng do
that mountain is falling heavily due to landslide,muudw hv bvyak-bvyak bv yaklu du
no money to pay for alcohol,Oppo tvngrv nvnv kama
Don't tell your dad,nokv abu nyi minpa mabv ka
if you have finished your food then we will go,no achin dvku bolo vvla kuju
it is raining too much,nyido meegu oodo
spoken too much,Yaagu mindu kunvi
roasted meat is tastes good,addin baanam dvpu do
It's Takar,si Takar
either this or that,so ya ma ho ya
look for the tara's subu also,tara gv subu ha kaaji tho
Don't you like this?,no sim hingia ma?
Yapi has finished vomiting,Yapi gv bvvnam v bvvnya rooku
arid,tumpw
This beautiful place,Kaapu nv moko si
give me a rupee,ngom abar go jito
drop down the two rope together,osso soonyi ha soobam lo tho
Grand mother,ayo
I'm here,ngo soka doopv
archer,iri-upuk apnv
fire through the same route I fired,ngo gv aplam bv apto
did you filled up water?,no issi gyapv?
Who am I?,ngo hvyv?
tara got beaten by tapa,tara tapa nyi mvku do
this tree is the most beautiful,seenv si kaapu yachok do
the bird is extremely beautiful,pvta angv kaapu janyu do
climb around,gekar
by wearing red overcoat,jvtv-jvbu vm gvto kula
Takar noticed a couple of changes,Takar achar-ajar vm kaapa duku
go in upward direction,adum bv chaato
this your home,si no gv naamv la
to your mother and father,no kv gv anv-abu nyi
apprehensive,adwk-aku rinam
stand away,olo achak gu dakto toh
I am taking you with me,nom vh nala vvgv tvdu nv
child cries early,anga ngv kabba do
we are children,kuu ngunu
Sport minister,keli sunam ministvr
write the name with tania,tania nyi amin lekgv tho
we are in this modern society,ngunu selu svcha so
don't get closer to tapa,tapa nyi asik-aka ma
house is easy to build,naam si mvpu do
Takar likes talking about himself,Takar nw lvga bv jabdv bv alv bv mwwdo
Don't you feel cold?,no swkwr ma?
I have a friend,ngoke ajinarum dopak
Do you like cooking?,no achin mvgia do?
Come again any time,loodak bv aadw to
This beautiful place,Kaapu nv moko si
you may incite a problem by speaking,no tarin minlwk jikv
Then the god instructed both of them that they may eat the fruits of any tree except for the one.,"Hokv Dooring yannv bvnyi anyi vm hvbvchin minto nvgwng mvnww gv apw sim dvla do rigv lela, svngnv nvkin gogv apw sim dvma bvkv hvmla miri minpa jila jitoku."
then I will become your snow,ngo rire nokv taapom bv
Yullo altar is deconstructed in the morning after the tenth night,Yullo ngv nyubrii gv aru nyi paayak duko
I'm home,ngo naam aaro
it is raining,nyido oodu
Did Takar contact you?,Takar nom mimpvnv ri?
Everybody looked up,nyi gwdw nyikdu pa
I am 8 years old.,ngo piinv anying bv ripvku.
Do you have any pets?,no ikki puruk dopv lvri?
Don't repeat it again okay?,Lvku hvbv ridv mabv ai?
Do you like English?,no English jabgia do?
he is my younger brother,hv ngo kv abwr
 He does not eat much food,Bv achin meygu dvma
I'm a man,ngo nyimin v
What's your favorite movie?,no gv favourite filim hugu do?
He has a round face,v gv alum nv mobar doodo
like that happen,hvbv ripv
archenemy,ikki-serv ngam kai yanv ikki-serv
Saw you in a dream,Nam nyuma lo kaado
I will build a house to live,naam mvtv la ngo doore
Come here,soka aato
come and stay here sometime,so apo-apo gu aala doodo
Where have you been?,no hugulo doopv nv aba-aba?
dapo side speaks hindi,dapo tangv hindi jabdo
All is calm tonight,mwnww vh seryum choyo pa
Doesn't anyone care?,nyi gwdww mwwjii madv nv ri?
keep on this,so agii tho
stay in my home while going to dapo,dapo chaari nyi ngo naam nyubba laka
Roji killed a rat,Roji kobu aku mvki pv
Come here,so aato
We're OK,ngunu alv do
If I get time I shall come,ngo aamio bolo ngo aare
Stop it,vm ngin to
The Foolish Donkey,jakpiap nv yabin
Grab him,vm naatu to
Aren't you a priest?,no nyubu mangv?
Try hard,advng bv mvka to
Takar is a baby,Takar angv yaya do
have been watching sholey whole night,no seeyu sholey nga kaayin do hai
after seeing you,nam kaapa tuku la
if I didn't eat food,ngo achin dvma bolo
All sales are final,pyoknv mwnww vh anyii gunyi do
Water comes from the mountain,MOdww okv isi v aado
apologize,mwwkur tvla hvkurnam
Perfect!,twyi-jubji!
You wait me there at nyumchi-nyumtv water fall,no nyumchi-nyumtv dvvdo tolo dooria laka
Let Tara to come home,tara nyi naam aamu toh
give me one hand span of rope,ngom osso gapkin go jito
if I go upward also I still remeber you,toolo bv chaala sin nom ngo mwwpa do
I'm good,ngo alv do
mix the rice and water,achin la issi vm gaanyam to
Have you finished eating food?,No achin dvnya roku?
Mother's sister daughter,nyeu
Don't listen to Takar,Takar nyi tvyo
appetizing,dvpu tvvpu
Takar lives in a very large house,Takar nam namtv log dodo
arcane,pwglwk nvnv
when the dog bit me you were still laughing,ngam ikki v cheri ho ngo nyorbv la doodv
Tungon has eaten all the banana,Kopak mvnv ngam Tungon dvnya ro
I will be staying in the village till day after tomorrow,ngo nampam so ruv bv doobv re
Do you have money?,no morko abar go dodo?
Yesterday if I didn't found her and let her stay for a night,Meru ngo kapa la svi dogv manv golo
Help Takar,Takar nyi mvdor to
You are too big and cannot swing on trees as I do,no achvlv bv kai do ngo gvri bv no seenv-seenv lo jenkar la ma re
I hug my teddy,ngo atuge teddy nyi jerbe do
I am fade up of this food,ngo dvtv puku
Girls talk too much,nyijir gwdw bilv bv jabdo
You cannot be my friend,no ngo kv ajin rila mare
appoint,daanam
then wild animals would have killed her already.,svi Svyin-Svmin ka gangki svma bv.
one scoop of rice for me,ngom achin gobkin go
aqueduct,haai bvda
my baby know how to crawl now,ngo anga gwlak do ku
This is the one in whom the glory of Christ Jesus and the faithfulness of the gospel have been revealed: the one who wrote about the death of the prophet.,Jisu gv nyidomooku bv chaarobvku Kristan vdwgv kai lvlv namgv higu a okv mvngjwng ngv nyoksit siku nama minpala lvknv akin nyi si Nyingnam vnam kitap haka lvktoku.
From Kullu Kurium Riumchingjering Riumching and Riumdo was formed,Kullu Kurium lo Riumchingjering Riumching okv Riumdo gu doolin rito
Your kids are cute,nogv yaya bulu kaapu pa
let me try burning the meat,ngo addin baaka laju
power to generate,yarnv-uyu
Takar plays tennis in the morning,Takar aru kamchi lo tenis rido
Hello!,helo!
I can't see the gyadu village properly,ngo tolo gyadu nampam ha kaachi nyuma
(4) [Lectures] concerning the disciples (Matthew 18:4-6];,(4) lvbwlaksu gv lvkwng nga tamsarnam (Mvrwmvpa 18);
grass is growing on stone,nvmwng ngv lvngnv ao lo harkar
Our beautiful mountains and the crystal clear rivers,Ngunu gv moodi isi
He changed his mind,bww atu gv mwwnam vm ajar roku
Everybody was tired,nyi mwnww agar-ayar pa
appendix,riki atar
Everybody loves her,nyi mwlww vm aya do
arrest,leenam
father kurium's,kurium abu gv
appreciation,umbonyi
Takar saved three hundred dollars,Takar barom go apv pa
Does that even work?,vv kaam rido?
Takar is my boy,Takar ngo gv yaapa ngv 
Did you hear it too?,no ka vm tvpv vn ri?
You're not doing it quickly enough,no ain kakv bv moma do
Any one of you come here,Aku so aato
Construct a house for father,Abu lvga bv naam mvto
You need a holiday,no chutti aku chinchi pa
Get down,dooto
I got it,ngo vm chin pa
armory,hidu karwng
7th day,kanw jinv alo
cover the thorn with stone,tav so vlwng paachin tho
seeing is believing,kaanam v mwwjinam
I'll go,ngo vvre
Can you swim?,no jaachin do?
tara and yaro loves each other,tara la yaro pakmii sudo
drop the clothes in water,iji ha issi lo paabok
Whom to give this to?,So hvyv nyi jire?
Hit Takar,Takar nyi domto
Tapar cuts the tree with an axe,Tapar Yagv lokv svvnv tvvdo
I refused,ngo ma hvpa
He entered the army,v miltri lo aaro ku
hit with spear,nvvbung lokv nwkdo
A truck hit the dog,trak aku ikki vm tubro
Bring me my clothes,ngom ngo gv iji vm bvji to
Takar is heroic,Takar nyilo-malo do
He does not walk fast,hv bapu bv vngma do
The moral,chinlak nam agam
tanya is coming,tanya chaari bo
my dao is sharp,ngo oriokv aril do
Takar has stolen some of my money,Takar ngo morko vm naalok pa
Tara opened the gate,Tara popum mvko do
this year,sinyi
He comes from Genoa,v Genoa lokv aado
Tania said that he will go Dapo,Tania Dapo chaare hvdww
Why are you not taking food?,Nog hugu bv dvgam dvma dunv?
Hold on,jarbwng to
three scoop of ice-cream for me,ngom ais-kriim gobbom go
yapa is my sister,yapa ngo gv atv
yaro and yapa taking care the together,yaro la yapa anga soobam do
Christmas is coming,Kristmas aduku
I wish to see you semiling,nam ngo nyordu bv kaanv do
He does not walk fast,hv ayong vngma do
I was new,ngo nutun pe
I'm hit!,ngom nwkpa!
having matrimonial relationship,aghu guudo
I'm cured,ngo mvpu pvku
I will not come here,ngo so aama re
April,lvchar polo
from atu sii chungnv as a female was formed,Atu Sii lokv Chungnv nyi nyemv bv yarlin to
Cool down,harik riknyum to
I know how to play football,ngo putbol richin do
who won the football,putbol yaabu hv hvye la
whose dao is this?,hvyv gv oryok v?
My brother went out,ngo achi agum vvro
Perfect!,hvbwng pa!
Be a man,nyidar bv rila kv
chase away the dog,ikki so charra tho
do you know climbing ladder,no kooba chaachin do
Who quit?,hvyv apak pa?
Let's dismantle the house,Naam a tyak laaju
collecting colacasia leaf,nyerwk twkar do
I can run,ngo jukla do
Happy birthday Takar,alv nv dwrw boknv alo Takar
apportion,horpin horkarnam
frighten away the elephant by shooting,settv nga aplam tho
I will give you something,Nam ngo hugu gu jire
The elephant wanted to save the other weak animals and went to the tiger and said,svtv anyo nv senwng-semin vm reera la paatv vm minto
Hug me,ngom chvbww to
this basket is very small,si vbar si barchi do
I had fun,ngo goopa
take this water and drink,Ho issi tvvto
Takar likes to avoid large crowds,Takar chamtw vm apak dvbv alv bv mwwdo
if you don't know me well,kaachin-kaachin kuma lo
Oh no!! Again you let the fish escape!?,Alle!! ngui vm ngeymuro!?
Did she give birth to a child?,hv kuu bvngpa ai?
you said at the beginning,atu-aki lo no mimpa
No way!,maa kv!
Call home!,Naam lo gokto
tara lifted away the clothes,tara iji ha sula vvgv ro
Takar pretended everything was OK,Takar alv sui jikv hvla rikw-ripak pa
don't fight within friend,ajin kalamv yalung duma
Marry me,ngom nyilo naato
Can you name the seasons?,no polu vm kila re?
Everybody don't like Takar,nyi gwdw Takar nyi aya ma do
append,mvdum nam
"Yes,I like my nose","vm,ngo ngokkv napum vm kaagia do"
mother is cooking food,annv achin mvdu
each man was competing,nyi asak v mvkv sula
Write me,ngom lwkto
I am busy,ngo mioma do
may cook the meat as it is,adin mvli jila
Hug me,ngom chvbwng to
stone is rolling down,vlw ngv gelu ri
Takar said that he'd call at two thirty,Takar nw anyi gola chamom apo lo phon mvri hvla hvpa
immerse it in water,issi lo paabok to
Takar is my boy,Takar ngo gv yaame ngv
Takar had a gun,Takar gv mabuk aku dope
I am not sweeping,ngo sampok pakma
this place is not good for standing,si dakyin ma
that is why the soogwng altar is made beautifully,Ho lvga bv Soogwng nga kaapu dubv mvpv jido
Are you lying to me?,no ngom mvv dvnv ri?
Don't go down there,bolo vvma bv ka
exotic poultry birds,hamdo porok
She sings beautifully.,Bww gaana kaangam bv gaado.
The Time Hasn't Passed yet [1:1-26),Tvvyakaria nvgv ripv kunam (1:1-26)
Bring your computer,no gv kompyutvr vm bvla kv
that girl is beautiful,nyijir angv kaangam pa
Do you keep a diary?,no diari kapv dvnv ri?
come closer,aanwk to
you are my magician,no ngokv huru gyumgi ngv
array,layam
All is well with me,ngo gv mwnww vh alv do
Takar often goes there by himself,Takar nw diki bv oloo vvda vvra 
approval,umbo
Close the entrance,agi vm koktum to
"These are the signs of the resurrection of Jesus in the last days of his life, when he was crucified.","Minya nvbv mvrwmvpa vdw so Jisu gv nyia mooku so rinyadw alu am, ninyia daapo lo takki kunam a pwbwng alvbv, okv turkurkunama minpa jido."
Give alcohol to Riakyo,Riakyo nyi oppo jito
I am shooting arrow,ngo opok apre ai
Build the house strongly,naam so kamkam be mvto
on the way toward down,lamtv si idung dun
Go get it,kvle vm naato
cover the hole with cloth,umko olo iji ryaptum
change that firewood,vsing olo naav tho
sit in dinning,dvku lo dooto
around (time),apo nyi
He often makes mistakes,Bv rimor morki do
he didn't deserve a pencil after his performance in the test,nw puri alv kuma kv hvla pensil sim naama re hvto
come and take her away.,alaiya nalaikv.
keep the dao and cap together,oryok so la bootung so pvvbam tho
lets see,kaala ju
I am walking in the street,ngo lamda si daakar dun
I woke up,ngo guduu pa
Don't tell your dad,nokv abu nyi minma bv ka
I'm angry,ngo rukpv ku
Sit down!,lwkw dooto!
army,sipai
Do you like it here?,no so regia do?
appearance,kaanam
Don't call Takar that,Takar nyi hvbv minyo
finished preparation log bridge,sugu gunya ro ku
aquatic,haai lo seenv
Everyone come and gather at Dapo,mwlw ngv Dapo so aakum to
Takar never talks to Yapi anymore,Takar Yapi nyi svjak agam jabma do
This rope is very hard,so oso si achlvv ator pv
Divide this in half,sim no anyi bv mvpin to
the elephant kicked the tiger and scared it away,svtv paatv vm dwktvla charkar to
Do you have one rupee? ,No morko barkee go do pai?
having sufficient money,morko ngv mvngin kuma
let's block the river flow by piling up stone,issi koro nga vlww paatum laju
Governor,gobornor
give something to eat with rice,dvmv lo jito
chasing the mithun upward,subu yamcha do
Do you eat food?,No achin dvdv re?
Fantastic!,majik pa!
I have three clothes,ngo iji borum go dodo
let go northward,tolo peylv bv chaala ju
Don't tell your dad,nogv abu nyi minma bv ka
I like ice cream,ngo aiskrim alvbv mwdo
You're not looking,no kaama do
let us think in a same way,ngonu sakkin bv sakla ju
don't let the mug fall while taking,koobv anga naako jila
in the fifth day,alu loongu jinv nga
Takar retired on October 20 2013,Takar 2013 gv lwbw polu gv 20 lo atu kaam vm apak pa
don't blame me for the lost mithun,subu nyenama nga minv ma
digging out soil,kedv sarlin
Anything's possible,hugu mwnww vh rila re
Are you from Boston?,no Boston bolo kongv ri?
then I will be your course,ngo rire nokv paaku bv
your language so hurting,no haapoka kik pvv du bv mindo
Horticulture minister,nayam ministvr
who dried this meat,addin haabu hv heyv la
tara are you not stoping the work,tara no mvngin kuma
I woke up,ngo guduu pvku
Answer me right now,ngom nyiba bv raarwk to
Takar read thirty books last year,Takar menyi chamom go kitab puri pa
Bring the mithun,Subu vm boolvk to
seen particularly,kaalv lwchi
my galok,ngo kv galok vm
one matured woman,nyimv mvsun aku
You're extroverted,no jabgi do
Don't give up on me,ngom apak mabv ka
Takar only does what he has to do,Takar hugu ka ribolo atu jeesing bv rido
We won,ngulu yaaro
Seeing no other way to solve the problem,nw hugu mvdu bv hvla kaapa mabv
yaro is lonely,yaro ajen kama
Does it even matter?,si hugu gula padu bv hvla rito? 
Takar had a dog,Takar gv ikki aku dope
given motherly name,anv guumin gubv minla
You cannot go without a stick,Biaknyi bvvma lo no vngnyu ram
What's your favorite type of bird?,nok kv alv yasuk himpa nv pvta hugu do?
Time,apo
approach,aanwk nam
You have did not give me twenty rupees,No ngom morko chamnyi jima
The word of Matthew was spoken to Jesus as salvation.,Metiu gv Gamlv milambv milinjinam si Jisunyi milvkunam Ringnvbaanv gubv mintoku.
we won,ngulu yaapa
cut meat into small pieces,addin na pamwk tho
He's rich,bww nyetv do
give me a pillow,ngam dumpa jito
He called me a taxi,v ngom teksi aku goklwk jipa
Takar needs to go to the hospital,Takar hospitel vvdu bv chinchi do
by kicking and deforming you,dukup-dulik mvtv la
Every seat was full,dooku mwnww vh dooro pa
Did I lock the door?,ngo vryap vm mvtum pvnv ri?
Everyone lies to me,nyi mwlww vh ngom mvrdo
appeal,kumnam
